Iteration, PSO,ECPPSO,ECPPSO_GA
481,69.4898,71.3469,95.102
482,69.6735,69.8572,95.4082
483,69.1225,69.9388,95.102
484,68.6531,71.8163,94.898
485,69.1837,71.7551,95.1429
486,69.5102,70.0408,94.9184
487,69.6939,70.449,95
488,69.4898,70,94.9184
489,69.2449,69.8776,95
490,69.4286,68.8776,94.7959
491,69.6531,67.9592,94.8776
492,69.4898,68.3061,94.9592
493,69.5306,68.7143,95.1429
494,69.3061,67.7551,94.8367
495,69.6939,68.4286,94.9388
496,69.3469,70.0612,94.7551
497,69.3878,67.6735,94.898
498,69.5306,66.8571,94.8572
499,69.3469,67.102,94.6122
500,69.1429,68.1429,95
